KEY,English,French,German,Spanish,Portuguese,Russian,Italian,Vietnamese,Korean,Japanese,Chinese,Thai
English,English,English,English,English,English,English,English,English,English,English,English,English
Chinese,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文
Vietnamese,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt,Tiếng Việt
German,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
Spanish,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
French,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
Russian,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский,Pусский
Portuguese,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
Italian,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
Korean,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
Turkish,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk,Türk
Japanese,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
Thai,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย
loading,Loading...,Chargement...,Wird geladen ...,Cargando...,Carregando...,Загрузка…,,Đang tải…,불러오는 중...,読込中...,正在加载……,กำลังโหลด...
,,,,,,,,,,,,
Details,Details,Détails,Infos,Detalles,Detalhes,Подробности,,Chi tiết,자세한 내용,詳細,详细信息,รายละเอียด
BtnBack,Back,Retour,Zurück,Atrás,Voltar,Назад,,Quay lại,뒤로,戻る,返回,ย้อนกลับ
quit_confirm_title,Confirm,Confirmer,Bestätigen,Confirmar,Confirmar,Подтвердить,Conferma,Xác nhận,확인,確認,确认退出,ยืนยัน
quit_confirm_msg,Do you really want to quit the game?,Voulez-vous vraiment quitter le jeu ?,Möchtest du wirklich das Spiel beenden?,¿Seguro que quieres salir del juego?,Quer mesmo sair do jogo?,Хочешь выйти из игры?,Vuoi davvero abbandonare il gioco?,Bạn chắc chắn muốn thoát game?,정말로 게임을 종료하시겠습니까?,ゲームを終了しますか？,你真的想退出游戏吗？,แน่ใจหรือไม่ว่าต้องการออกจากเกม?
cancel,Cancel,Annuler,Abbrechen,Cancelar,Cancelar,Отмена,,Hủy bỏ,취소,キャンセル,取消,ยกเลิก
ok,OK,OK,Okay,Aceptar,OK,ОК,,ОК,확인,OK,确定,ตกลง
DayRemainsLabel,{0:D2} day(s),,,,,,,,,,,
HourRemainsLabel,{0:D2} hour(s),,,,,,,,,,,
MinuteRemainsLabel,{0:D2} minute(s),,,,,,,,,,,
SecondRemainsLabel,{0:D2} second(s),,,,,,,,,,,
HourMinuteTimes,{0:D2}h {1:D2}m,,,,,,,,,,,
,,,,,,,,,,,,
quit,Quit,,,,,,,,,,,
ShopPage,SHOP,,,,,,,,,,,
SettingPage,SETTINGS,,,,,,,,,,,
LevelShortLabel,Lv.{0},,,,,,,,,,,
GoldResource,"{0}<sprite=""Gold"" index=0>",,,,,,,,,,,
btnClaim,CLAIM,,,,,,,,,,,
btnJoin,JOIN,,,,,,,,,,,
TimeRemainLabel,Time remain: {0},,,,,,,,,,,
HourMinuteSecondLabel,{0:00}:{1:00}:{2:00},,,,,,,,,,,
MinuteSecondLabel,{0:00}:{1:00},,,,,,,,,,,
RacingLevelLabel,{0} Level(s),,,,,,,,,,,
YouLabel,You,,,,,,,,,,,
TabToContinue,Tab to continue,,,,,,,,,,,
RetryBtn,Retry,,,,,,,,,,,
btnNoThanks,"No, Thanks!",,,,,,,,,,,
UserNameGIDLabel,{0}#{1},,,,,,,,,,,
RewardLabel,Reward,,,,,,,,,,,
BtnPlay,Play,,,,,,,,,,,
BtnRePlay,REPLAY,,,,,,,,,,,
LabelFailed,FAILED,,,,,,,,,,,
BestRecordLabel,BEST,,,,,,,,,,,
NumberSuffixK,{0:F1}k,,,,,,,,,,,
